id,Lat,Lon,cluster
184,6.650865,44.421275,0
185,6.65099,44.421271,0
186,6.651115,44.421267,0
187,6.651241,44.421263,0
188,6.651366,44.421259,0
189,6.651492,44.421254,0
190,6.651617,44.42125,0
191,6.651742,44.421246,0
192,6.651868,44.421242,0
193,6.651993,44.421238,0
194,6.652118,44.421234,0
195,6.652244,44.42123,0
196,6.652369,44.421226,0
197,6.652494,44.421222,0
198,6.65262,44.421218,0
199,6.652745,44.421214,0
200,6.652871,44.42121,0
201,6.652996,44.421206,0
202,6.653121,44.421202,0
203,6.653247,44.421198,0
204,6.653372,44.421194,0
205,6.653497,44.42119,0
206,6.653623,44.421186,0
207,6.653748,44.421182,0
208,6.653873,44.421178,0
209,6.653999,44.421174,0
210,6.654124,44.42117,0
211,6.65425,44.421166,0
212,6.654375,44.421162,0
213,6.6545,44.421158,0
214,6.654626,44.421154,0
215,6.654751,44.42115,0
216,6.654876,44.421146,0
217,6.655002,44.421142,0
218,6.655127,44.421138,-1
219,6.655252,44.421134,0
220,6.655378,44.42113,0
221,6.655503,44.421126,0
222,6.655629,44.421122,0
223,6.655754,44.421118,0
224,6.655879,44.421114,0
225,6.656005,44.42111,0
226,6.65613,44.421106,0
227,6.656255,44.421102,0
228,6.656381,44.421098,0
229,6.656506,44.421094,0
230,6.656631,44.42109,0
231,6.656757,44.421086,0
232,6.656882,44.421082,0
233,6.657008,44.421078,0
234,6.657133,44.421074,0
235,6.657258,44.42107,0
236,6.657384,44.421066,0
237,6.657509,44.421062,0
238,6.657634,44.421058,0
239,6.65776,44.421054,0
240,6.657885,44.42105,0
241,6.65801,44.421046,0
242,6.658136,44.421042,0
243,6.658261,44.421038,0
244,6.658387,44.421034,0
245,6.658512,44.42103,0
246,6.658637,44.421026,0
247,6.658763,44.421022,0
248,6.658888,44.421017,0
249,6.659013,44.421013,0
250,6.659139,44.421009,0
251,6.659264,44.421005,0
252,6.659389,44.421001,0
253,6.659515,44.420997,0
254,6.65964,44.420993,0
